cover_id,original_id,lcs_similarity,levenshtein_similarity,pitch_hist_similarity,dtw_distance,is_correct
4,80,0.930362,0.887097,0.647702,,0
5,1,0.889632,0.801282,0.592073,,0
5,2,0.944649,0.895105,0.502021,,0
5,3,0.753165,0.670520,0.740489,,0
5,4,0.867314,0.807229,0.688307,,0
5,5,0.859155,0.811189,0.709733,35.4593001296965,1
5,6,0.860759,0.786127,0.554790,,0
5,7,0.814815,0.762238,0.582858,,0
5,8,0.764543,0.633028,0.795114,,0
5,9,0.805797,0.688119,0.734551,,0
5,10,0.773256,0.661692,0.711410,,0
5,11,0.847561,0.751351,0.690248,,0
5,12,0.821293,0.755245,0.635752,,0
5,13,0.803738,0.707865,0.457067,,0
5,14,0.897959,0.874172,0.801092,,0
5,15,0.936620,0.895105,0.898422,,0
5,16,0.875399,0.805882,0.537671,,0
5,17,0.796562,0.674757,0.586635,,0
5,18,0.842424,0.743316,0.608096,,0
5,19,0.699229,0.552846,0.408060,,0
5,20,0.839879,0.739362,0.867720,,0
5,21,0.843750,0.762712,0.610049,,0
5,22,0.776812,0.663366,0.530257,,0
5,23,0.873333,0.802548,0.714925,,0
5,24,0.895623,0.857143,0.639502,,0
5,25,0.861842,0.813665,0.440594,,0
5,26,0.749311,0.618182,0.814245,,0
5,27,0.796512,0.681592,0.603780,,0
5,28,0.833856,0.750000,0.543536,,0
5,29,0.715736,0.561753,0.601202,,0
5,30,0.726776,0.596413,0.613979,,0
5,31,0.818462,0.725275,0.767863,,0
5,32,0.869258,0.825175,0.595439,,0
5,33,0.861635,0.782857,0.464955,,0
5,34,0.769663,0.643192,0.799380,,0
5,35,0.827160,0.740331,0.461380,,0
5,36,0.726776,0.596413,0.582920,,0
5,37,0.862500,0.774011,0.692122,,0
5,38,0.894737,0.832298,0.739228,,0
5,39,0.828402,0.717949,0.478630,,0
5,40,0.939502,0.909091,0.495822,,0
5,41,0.863354,0.776536,0.499278,,0
5,42,0.745946,0.607930,0.506445,,0
5,43,0.872611,0.801170,0.518787,,0
5,44,0.750000,0.613333,0.572523,,0
5,45,0.769679,0.660000,0.559969,,0
5,46,0.873786,0.813253,0.568361,,0
5,47,0.831325,0.730159,0.511733,,0
5,48,0.832335,0.722513,0.760274,,0
5,49,0.877888,0.825000,0.726831,,0
5,50,0.767123,0.630631,0.857724,,0
5,51,0.770115,0.648780,0.617811,,0
5,52,0.930070,0.895105,0.855556,,0
5,53,0.843750,0.762712,0.489879,,0
5,54,0.871166,0.770492,0.553853,,0
5,55,0.928328,0.893333,0.653550,,0
5,56,0.838509,0.754190,0.455527,,0
5,57,0.797688,0.679803,0.864645,,0
5,58,0.906040,0.870968,0.643350,,0
5,59,0.928328,0.893333,0.656606,,0
5,60,0.872131,0.820988,0.665059,,0
5,61,0.789809,0.719298,0.446654,,0
5,62,0.796512,0.676617,0.739774,,0
5,63,0.797688,0.679803,0.848106,,0
5,64,0.817647,0.705584,0.617684,,0
